2045
7.8675	6.78E+03
7.8697	4.62E+03
7.8721	1.21E+04
7.8774	1.70E+03
7.8830	2.19E+04
7.8895	1.43E+03
7.9340	1.25E+04
7.9840	7.74E+04
7.9930	3.92E+04
8.0697	1.11E+03
8.0904	2.77E+04
8.1360	1.55E+03
8.1610	2.14E+03
8.1686	5.25E+03
8.1690	4.80E+03
8.1811	1.32E+03
8.2326	3.90E+04
8.2857	1.29E+04
8.3029	8.28E+04
8.3150	1.15E+04
8.3164	6.98E+04
8.3208	7.58E+03
8.3230	6.46E+03
8.3607	1.13E+03
8.3751	3.08E+04
8.3830	5.41E+03
8.4062	2.81E+03
8.4086	1.25E+03
8.4176	4.45E+03
8.4192	5.80E+05
8.4246	2.90E+05
8.4317	1.14E+03
8.4326	1.38E+03
8.4446	1.08E+03
8.4487	1.78E+03
8.4591	2.76E+03
8.4603	1.38E+03
8.4687	2.41E+03
8.5003	2.42E+03
8.5208	2.23E+03
8.5271	1.39E+03
8.5500	8.00E+03
8.5515	3.03E+03
8.5605	7.75E+03
8.5730	5.15E+04
8.6083	4.56E+03
8.6140	1.34E+04
8.6183	2.58E+03
8.6241	1.27E+03
8.6276	7.46E+03
8.6430	3.14E+03
8.6720	2.09E+03
8.6926	2.48E+03
8.7150	2.35E+04
8.7150	1.36E+04
8.7352	2.97E+03
8.7380	1.58E+03
8.7433	7.66E+03
8.7530	2.68E+03
8.8140	8.80E+04
8.8346	1.89E+03
8.8400	1.67E+03
8.8552	3.66E+03
8.9060	3.44E+04
8.9600	2.52E+03
8.9773	8.29E+04
8.9930	1.23E+03
8.9930	1.96E+03
9.0110	4.19E+03
9.0230	1.39E+03
9.0460	3.20E+03
9.0613	2.43E+04
9.0650	4.47E+03
9.0650	1.19E+04
9.0689	8.62E+03
9.0689	1.71E+04
9.0737	1.60E+04
9.0750	1.33E+04
9.0779	1.32E+03
9.0853	3.69E+03
9.0898	1.64E+03
9.1050	1.31E+04
9.1100	1.24E+04
9.1100	2.92E+03
9.1157	1.47E+03
9.1399	1.81E+03
9.1404	1.30E+03
9.1545	1.34E+03
9.1630	5.17E+03
9.1688	2.73E+05
9.1689	2.96E+03
9.1802	2.19E+03
9.1817	3.34E+03
9.1871	2.33E+03
9.1895	1.25E+03
9.1912	3.06E+04
9.1935	2.11E+03
9.1946	3.26E+03
9.1957	1.53E+03
9.2111	1.30E+03
9.2150	3.00E+03
9.2160	1.22E+03
9.2160	1.56E+03
9.2200	3.49E+03
9.2282	3.49E+03
9.2312	3.14E+04
9.2410	2.17E+04
9.2605	3.94E+03
9.2808	1.20E+03
9.2809	5.11E+03
9.2840	1.38E+03
9.3144	1.01E+05
9.3161	2.06E+03
9.3206	3.25E+03
9.3235	1.08E+03
9.3246	1.55E+03
9.3300	1.99E+04
9.3550	1.14E+04
9.3616	6.37E+03
9.3617	3.18E+03
